permutation,stat1,stat2,stat3,stat4,stat5,stat6,stat7,stat8,stat9
"(1, 2, 4, 7, 8, 5, 3, 6)",0,0,0,0,8,0,2,0,0
"(1, 2, 4, 7, 8, 5, 6, 3)",0,1,0,0,9,1,2,0,0
"(1, 2, 4, 7, 8, 6, 3, 5)",0,0,0,0,9,1,2,0,0
"(1, 2, 4, 7, 8, 6, 5, 3)",0,1,0,0,10,0,3,0,0
"(1, 2, 4, 8, 3, 5, 6, 7)",0,0,0,0,5,1,1,1,0
"(1, 2, 4, 8, 3, 5, 7, 6)",0,1,0,0,6,0,2,0,0
"(1, 2, 4, 8, 3, 6, 5, 7)",0,0,0,0,6,0,2,0,0
"(1, 2, 4, 8, 3, 6, 7, 5)",0,1,0,0,7,1,2,0,0
"(1, 2, 4, 8, 3, 7, 5, 6)",0,0,0,0,7,1,2,0,0
"(1, 2, 4, 8, 3, 7, 6, 5)",0,1,0,0,8,0,3,0,0
"(1, 2, 4, 8, 5, 3, 6, 7)",0,0,0,0,6,0,2,0,0
"(1, 2, 4, 8, 5, 3, 7, 6)",0,1,0,0,7,1,3,0,0
"(1, 2, 4, 8, 5, 6, 3, 7)",0,0,0,0,7,1,2,0,0
"(1, 2, 4, 8, 5, 6, 7, 3)",0,1,0,0,8,0,2,0,0
"(1, 2, 4, 8, 5, 7, 3, 6)",0,0,0,0,8,0,2,0,0
"(1, 2, 4, 8, 5, 7, 6, 3)",0,1,0,0,9,1,3,0,0
"(1, 2, 4, 8, 6, 3, 5, 7)",0,0,0,0,7,1,2,0,0
"(1, 2, 4, 8, 6, 3, 7, 5)",0,1,0,0,8,0,3,0,0
"(1, 2, 4, 8, 6, 5, 3, 7)",0,0,0,0,8,0,3,0,0
"(1, 2, 4, 8, 6, 5, 7, 3)",0,1,0,0,9,1,3,0,0
"(1, 2, 4, 8, 6, 7, 3, 5)",0,0,0,0,9,1,2,0,0
"(1, 2, 4, 8, 6, 7, 5, 3)",0,1,0,0,10,0,3,0,0
